--qXJuDtHPw[0],4,4,0,4,4
-571d8cVauQ[0],3,3,0,3,3
-571d8cVauQ[1],2,2,0,2,2
-571d8cVauQ[2],4,4,0,4,4
-I_e4mIh0yE[0],2,2,0,2,2
-I_e4mIh0yE[1],4,2,-2,4,2
-I_e4mIh0yE[2],2,2,0,2,2
-UacrmKiTn4[0],2,2,0,2,2
-UacrmKiTn4[1],1,3,2,1,3
-UacrmKiTn4[2],3,4,1,3,4
-UacrmKiTn4[3],4,4,0,4,4
-hnBHBN8p5A[0],6,4,-2,6,4
-hnBHBN8p5A[1],4,4,0,4,4
-hnBHBN8p5A[2],4,4,0,4,4
-hnBHBN8p5A[3],3,4,1,3,4
-hnBHBN8p5A[4],4,3,-1,4,3
-qDkUB0GgYY[0],5,4,-1,5,4
-qDkUB0GgYY[1],5,4,-1,5,4
-qDkUB0GgYY[2],5,4,-1,5,4
-uywlfIYOS8[0],4,4,0,4,4
-uywlfIYOS8[1],6,5,-1,6,5
06st0Ez_E_I[0],3,4,1,3,4
06st0Ez_E_I[1],3,3,0,3,3
0utROiKxejc[0],3,4,1,3,4
0utROiKxejc[1],3,4,1,3,4
0utROiKxejc[2],3,2,-1,3,2
0y022OlZ3W0[0],3,4,1,3,4
0y022OlZ3W0[1],4,3,-1,4,3
0y022OlZ3W0[2],3,2,-1,3,2
0y022OlZ3W0[3],4,4,0,4,4
0y022OlZ3W0[4],5,4,-1,5,4
0y022OlZ3W0[5],2,4,2,2,4
0y022OlZ3W0[6],1,2,1,1,2
0y022OlZ3W0[7],2,4,2,2,4
0y022OlZ3W0[8],2,2,0,2,2
101787[0],3,3,0,3,3
101787[1],2,4,2,2,4
101787[2],2,4,2,2,4
101787[3],3,2,-1,3,2
101787[4],3,3,0,3,3
101787[5],1,4,3,1,4
101787[6],1,2,1,1,2
101787[7],2,2,0,2,2
101787[8],2,2,0,2,2
101787[9],3,3,0,3,3
101787[10],3,6,3,3,6
101787[11],1,6,5,1,6
101787[12],3,4,1,3,4
101787[13],4,5,1,4,5
101787[14],5,5,0,5,5
101787[15],2,3,1,2,3
102408[0],3,3,0,3,3
102408[1],3,3,0,3,3
102408[2],2,2,0,2,2
102408[3],4,2,-2,4,2
102408[4],4,2,-2,4,2
102408[5],1,2,1,1,2
102408[6],1,2,1,1,2
102408[7],1,2,1,1,2
102408[8],1,1,0,1,1
102408[9],1,2,1,1,2
102858[0],4,4,0,4,4
102858[1],4,4,0,4,4
102858[2],5,6,1,5,6
102858[3],2,2,0,2,2
102858[4],4,3,-1,4,3
102858[5],3,3,0,3,3
102858[6],4,4,0,4,4
102858[7],3,4,1,3,4
102858[8],2,4,2,2,4
102858[9],4,4,0,4,4
102858[10],3,2,-1,3,2
102858[11],3,4,1,3,4
102858[12],5,4,-1,5,4
102858[13],5,4,-1,5,4
102858[14],4,2,-2,4,2
102858[15],6,4,-2,6,4
102858[16],6,4,-2,6,4
102858[17],5,4,-1,5,4
102858[18],4,4,0,4,4
102858[19],6,6,0,6,6
102858[20],6,6,0,6,6
102858[21],6,5,-1,6,5
102858[22],3,4,1,3,4
102858[23],2,5,3,2,5
102858[24],2,3,1,2,3
112433[0],3,4,1,3,4
112433[1],1,1,0,1,1
112433[2],3,3,0,3,3
112433[3],0,2,2,0,2
112433[4],2,2,0,2,2
112433[5],1,2,1,1,2
112433[6],1,1,0,1,1
112433[7],1,1,0,1,1
112433[8],2,1,-1,2,1
112433[9],1,2,1,1,2
112433[10],1,1,0,1,1
117tQqLjza4[0],4,3,-1,4,3
117tQqLjza4[1],3,4,1,3,4
11j7EfglCAs[0],4,3,-1,4,3
11j7EfglCAs[1],2,3,1,2,3
11j7EfglCAs[2],4,4,0,4,4
121128[0],3,3,0,3,3
121128[1],3,3,0,3,3
121128[2],5,4,-1,5,4
121128[3],3,3,0,3,3
